Codigo,ID,Nombre del emplazamiento,Direccion,Municipio,Localidad,Provincia,Latitud,Longitud,Categoria
ARPA0237,DE015,Colonia Santa Teresa TASA,San Martín S/N entre Sarmiento y Newbery,PUELCHES,SANTA TERESA,LA PAMPA,-37.575833,-63.431111,C
ARPA0026,DE002,Catrilo REP,Ing. Marconi s/n entre Leandro N. Alem y Hipolito irigoyen,CATRILO,CATRILO,LA PAMPA,-36.408611,-63.414448,C
ARPA0048,DE065,Lonquimay,Esq Florentina Martin y Palmeri s/n,LONQUIMAY,LONQUIMAY,LA PAMPA,-36.473224,-63.620938,C
ARNQ0002,QC044,Parque Central,Onésimo Leguizamón 131 entre 12 de Setiembre y Sarmiento,NEUQUEN,NEUQUEN,NEUQUEN,-38.9564,-68.0679,A
ARNQ0010,QC048,Centro Oeste,Cristobal Colon y Republica de Italia,NEUQUEN,NEUQUEN,NEUQUEN,-38.9444,-68.0792,A
ARNQ0016,QC003,Gran Neuquen,zona barda de la ciudad,NEUQUEN,NEUQUEN,NEUQUEN,-38.929447,-68.105278,A
ARNQ0019,QC004,Brown y J B Justo (CEC NEUQUEN),Alte Brown 102,NEUQUEN,NEUQUEN,NEUQUEN,-38.954224,-68.061363,P
ARNQ0026,QC045,Colonia Valentina,Collon Cura entre Belgrano y San Martin,NEUQUEN,NEUQUEN,NEUQUEN,-38.951458,-68.100327,B
ARNQ0033,QC037,EPAS BELGRANO,Santiago del Estero 452452 entre Belgrano y Elordi,NEUQUEN,NEUQUEN,NEUQUEN,-38.9501,-68.0655,A
ARNQ0035,QC201,Alcorta y Av Olascoaga,Olascoaga 285,NEUQUEN,NEUQUEN,NEUQUEN,-38.958019,-68.059512,C
ARNQ0041,QC208,Buenos Aires y Alderete,Buenos Aires 380,NEUQUEN,NEUQUEN,NEUQUEN,-38.951087,-68.057617,D
ARNQ0042,QE002,Plottier,"Ruta 22, Km 1234 s/n",PLOTTIER,PLOTTIER,NEUQUEN,-38.958336,-68.212494,A
ARNQ0044,QC202,Catedral,Av.Argentina 160,NEUQUEN,NEUQUEN,NEUQUEN,-38.9536,-68.059201,C
ARNQ0047,QC006,Neuquén TASA,"J, B, Alberdi 243 entre Cordoba y Santa Fe",NEUQUEN,NEUQUEN,NEUQUEN,-38.953015,-68.055534,P
